Compound	toxicity	score	n_refs	pubmed_ids
5-Fluorouracil	genotoxicity	1.11	166	24568202,29606027,23744359,8093030,17374387,33808326,24259968,31278615,17342256,19074854,17623763,20438860,24403269,2392121,18056458,33650652,36122806,29256157,17951356,21480341,22246181,26002047,18096571,22269936,25526924,19150257,2392120,15999354,31252338,23369851,25889180,22084712,16619043,16399440,25216231,16202645,17463168,34099522,35188978,15608676,14665630,31465813,18075190,19010883,22108006,33631341,16862141,30834581,18834353,12434296,20706634,31659152,18790786,16732331,16761155,21373644,21130767,12792779,35753414,15190000,36310106,25124805,21217839,16631755,17867890,25943512,16652156,27410723,15971258,24583651,25072720,22467013,32640042,31255220,15630804,23017148,22194930,19115314,29405473,15459018,16628750,19484131,20580854,9600697,17634554,16765631,21112930,20298804,27491891,32372765,22247744,24134839,8700174,26625007,30538221,24211769,23528453,20624627,15016801,27299503,25744307,23108049,29084772,21107724,36634224,7687490,16782396,2263217,16797225,36067354,26566018,16928813,32247555,15517570,9268047,22420423,22640881,20422012,31404901,11746749,19293795,20429933,22481935,22430613,12700011,35151424,20727378,25775367,15996812,18609705,29119204,36185598,25339439,33441311,32846134,26232255,22617127,22084710,12082016,12948826,20478394,33594067,22564307,12134045,19558638,21515933,19152554,21605422,16143349,34510228,33619534,25282277,21386925,25965036,19922504,20338262,15103049,19478870,15739158,21704725,29709619,20697159,8258847,19084077,16722146,27369741
5-Fluorouracil	immunotoxicity	-0.38	7	32881535,10470290,9021669,24512327,16538045,12058450,3258185
5-Fluorouracil	hepatotoxicity	1.98	87	16404347,10509163,2092281,17369573,29441849,2804987,8512588,37087567,21790235,18488159,30190369,21225242,26902010,1530700,31814323,10065089,16601432,30455827,19261256,19200687,25296595,12071535,18781910,22269936,8978579,22721846,21674854,17166388,21229271,19885316,3965128,6764112,20852907,29948819,6549010,20829430,2622477,19554374,20843939,23108452,32332600,20553011,21084429,24965391,23041049,19920087,11895000,17662147,10573201,26990033,35119631,10983693,34290264,8246027,7731455,28599872,3017230,1828154,17315288,19584954,19247029,20180123,18272318,26112080,34325632,32713235,3595888,26897947,6411956,29767581,19701965,24486618,20567921,27817239,20661736,7987997,32561283,24661191,18349394,12365478,23956101,29417758,14696403,21243394,7059937,24964515,1936301
5-Fluorouracil	neurotoxicity	2.94	527	26625769,21163137,32332600,18506148,11743211,30901664,21351631,22155857,11497250,16012797,18279576,34918549,32683879,21478275,19833683,1957840,11875723,21844359,22811813,16472291,7779724,12422304,2295446,17665546,21184645,11843252,16038024,25132748,15331924,18281761,1732428,22312559,24608198,20683034,30248163,20205880,28614773,17309856,21585692,16168057,17976988,24631316,29280005,359130,23267885,1449111,20450590,28777427,25012613,17079693,20037315,20015928,30668446,16121929,24483867,2968263,7532157,20676676,34791927,15668714,15756253,32164906,34288696,7536271,17401013,23027461,24717407,1537077,6488155,16356303,24077981,17470850,20616905,18431023,28708227,19238627,17470860,27688184,26661403,22383023,8156541,4599221,30518710,17428157,34397704,18544957,36127544,22350021,21416138,17030548,6193870,7629565,16009951,11682323,22382588,27749615,16945171,36335993,16421419,16550735,17537235,15277260,15297195,29167217,19952054,33896650,35818232,2249187,17384515,33754020,12177775,28653974,16944151,24388031,9389936,11204657,31188808,23108696,18848761,15494638,1609456,30638100,17882631,19337632,11432626,15908667,12058965,8672860,2933492,18845989,18347395,29145211,22753712,9615799,24755296,19084393,7775133,14630248,35772045,7083215,20231623,12039926,17536342,30197340,33817933,11142489,35243627,33383348,21243395,16270111,9635920,18781065,15217938,22330089,8064664,9007910,31520102,16333678,15849224,29931409,24102280,22574275,21498982,26902018,32029633,12015768,25596695,32053133,17998790,25582667,12006767,2686394,19352139,10099659,16884425,19287306,1346985,32594273,33586034,18825381,337916,16291583,26282635,16721124,7812913,8313786,25987082,32623288,1553576,9830621,19718863,10473079,30679569,10560412,18835334,19922504,15550581,15206584,19262714,15494386,18187947,7858459,34748853,6423866,12014219,15894548,6704982,25627820,7346156,25523317,8453690,22202342,9848338,18487931,24343974,8242541,20926454,7107357,23392220,3218507,19098421,11797144,28353359,21772096,7116349,825778,35903929,33200233,28040425,18570737,27669422,23342269,20332703,7878606,29590544,22896877,17963264,3814445,20692157,34916380,29026967,24007333,12045461,25923094,21150228,18343754,2836565,19950789,29140155,17876335,1428732,350398,1637134,17197761,16175317,27353132,17405895,10590379,11419562,1905441,10023695,22790044,868978,22855141,35114182,3725283,22868256,2990750,21494615,17687217,19276137,3815391,20714149,24121454,18501073,8233292,26037783,11919233,21264839,8518040,31320182,19295247,12952569,16806962,11386413,21575503,6195955,29774408,8005812,17429632,30776132,11142487,19513514,22331722,32977220,9740078,21811088,30592963,27884585,10472346,12598342,2207756,28433600,17681104,15226770,12085178,15611524,22397758,10027340,18344111,19756772,27338003,36882809,17335131,12702522,19461197,24297951,16990846,32676895,9816193,22403780,15218291,21521528,26353772,35599280,19034447,21114776,12469146,33773532,34941125,27515842,18682717,21180382,16760280,27140876,21475636,17214815,36126605,22203844,1557642,21431344,22230541,27622829,12963697,32769620,17348454,46572,24103898,21680303,30043425,26523444,378365,20037366,22865779,20731872,11482736,5430334,12796023,32762143,17656482,16686939,36151017,19270793,3965628,22471450,9491136,2900901,17203759,32761281,18633257,20622967,30668345,8758262,15015621,31138725,3335642,33862000,36306483,17431344,25937430,1208028,17430667,22489159,9083162,9553671,15514570,22569841,11346931,27920498,8774643,9216850,2128162,23351188,32312144,21273620,26636535,27749286,6433643,22290566,18360567,12680161,8512588,24394005,22421001,12515634,18281265,19448415,10669184,542190,16796795,21918357,2119878,19091133,24309454,16041610,2995600,14981990,19332728,15956971,1324459,2284698,15385127,32949265,22669571,16231011,17924208,3188245,25337750,11409002,19106549,20702138,34837745,15691639,21833683,20479552,8777183,23411967,19472402,22643048,31376562,11567910,29620994,16436463,8493214,15736475,27531486,8018957,8053919,14651213,23821303,9667255,6336975,19688115,11459999,21553285,20819832,20108160,18477855,23604281,7408538,21258836,9428376,9250572,25370899,26158151,24745349,3100731,22099928,16635282,6385604,10073147,10091793,10897216,17098421,19815060,28711275,9757455,15855226,17957505,19189106,19795123,30470690,15930889,12649097,7113964,21253319,10999727,31724334,9126309,15871765,19401305,17344671,19734172,16237130,7583711,17179728,15623138,24728618,12075739,17704661,31132111,17165084,8811119,17559146,19333434,26637893,2026484,22234064,23169296,21566440,16891866,10761750,24982456,1498061,21067912,15218302,23196819,1260786,32871526,12324882,1948132,6147640,16835479,11410695,2917309,19654964,7471076
5-Fluorouracil	ototoxicity	1.92	30	11204657,16806962,25889937,9614438,10439167,19604121,1601678,14533437,3338666,1388466,22333669,16121929,25551926,16135407,22290566,3069815,2836565,9849468,16730538,10418721,9611050,2208023,1826720,30536479,30975630,1568880,8774643,9295871,17657790,28353359
5-Fluorouracil	hematotoxicity	5.09	66	14682132,25088940,7840517,17657790,6408995,17264758,32872062,10558444,1549628,19192656,19332728,16478742,7497579,16351808,2985415,32894958,11092461,10630242,12011135,9635582,12020602,12881395,1557652,19074750,15046776,22713627,7825967,17414462,26376561,31404653,24728578,30390114,22327124,15603550,6820898,16967056,29362307,20167269,22240888,18955264,8239524,10623704,9554039,17762401,12075745,22126733,20395787,18670090,9932161,12810457,15297028,17640356,18188518,2369090,11567908,9816035,21844359,12883091,32658073,30587730,21617237,20523092,19295247,16407616,14998850,12189523
Acrylamide	genotoxicity	4.55	246	22414587,19425232,35250264,20840797,15914214,35753027,21740528,18183576,19118568,18253717,20087806,15957192,23568512,16387526,18584977,15667831,15093263,22705327,29656225,25531190,25055136,3137422,28523455,7520984,22525873,23633401,35131362,27375233,20600534,11323403,18585295,29223822,28959563,18765236,18496815,25392148,22211389,19948203,20656055,25639614,33338370,3275881,17905504,20118625,20843409,29589771,28294348,21773622,30859440,15668106,17822822,19889361,34416594,26751864,34743026,7623872,8319628,7514731,19146983,33851531,19131562,28182799,32013673,20938989,18624434,15501435,21538409,19069669,18790027,21452779,30807115,36708862,22253857,33921874,32579735,17869571,19010089,25976790,6315255,15933429,15729833,18624431,11797835,12676450,24122845,25734764,35286246,17449897,27931815,31170835,21747735,35690182,17088317,31963203,35181073,32494932,18624430,29242644,33582169,35286252,9074806,36239366,3943500,15668115,16253758,30142361,15668118,29284226,17660004,34013591,19012407,14565774,30907623,3619640,15649824,7607186,35738327,32588597,10765407,22278074,15995732,23517909,7843334,17879240,12805639,23376767,15668112,17492525,18201925,16154914,34102941,1899131,29240951,18555743,17979661,15863249,29475067,19401552,35655100,28606764,16438290,25754987,18029077,25262075,16337756,33635915,27982682,23760623,22151830,20200216,16978761,32047892,35156211,19123476,20371966,30788551,19530719,17267090,34153608,15240786,16161713,8450763,15982677,18430446,16541755,22879202,29574012,22336951,1396605,29463903,12581540,26467066,24007743,27670634,16180013,15668109,32555690,21441395,15990134,31223032,22459607,33399867,20209648,25553597,25754417,28892787,27338305,16986536,15302100,25486454,32333355,14761520,20026424,22366097,2233840,21196355,26215160,16141254,34990604,15186132,30259071,19013231,36535654,17224249,15212490,26275143,21989502,21172417,12547279,23829070,17234719,26686995,15668103,17692500,35807551,25858877,36333451,35710039,27853100,21210084,16239164,15582361,15668108,17007897,24568121,1908775,22580102,24193052,20952504,15668114,33069180,31933424,33461361,20113852,29913234,35216144,22788377,17193744,17033134,7520983,25399061,23970446,20170357,20675360,11440474,22509344
Acrylamide	cardiotoxicity	0.86	7	30625662,29223822,35930837,35181073,22384053,30734688,26215160
Acrylamide	neurotoxicity	5.12	326	11020651,28705267,36607571,30248731,11456335,35164330,27501804,28888167,8492122,30574809,35651724,3985992,24193052,6542189,29261810,23202837,12387366,3583826,33484463,31123803,31556578,20113852,15093263,30735102,25687561,3951475,35390441,25754987,32468359,18470611,1956583,15212490,31647937,35930837,23566896,8378932,35088269,18996889,17519395,26248513,27634458,10758354,2133091,25146901,7589932,6539742,29607694,18599177,16769228,30898983,32156567,25573798,17023561,21445266,30374679,10613399,10448416,26730789,22427945,21511896,23707562,19853976,29066856,12564388,33338370,35917840,16880199,26275143,7728524,21415092,15995732,7589934,36657526,1597260,31818667,34206048,16438286,31509761,15019298,32990505,34661852,7073948,29159335,16986535,1387790,2836975,31068653,33617935,33396091,24844946,12164547,12387367,18030329,35550141,12164272,17905504,24282135,35037165,22841601,3441322,1724557,20479945,11036194,9707497,21610854,32347129,31320041,29589771,24784803,35835329,16541755,17615114,10825678,16845587,22312552,14565774,30725239,23541332,12729714,2477506,30148685,18624434,24877638,32014472,22135928,8243417,10547622,9311530,32763439,22561576,35654311,11264303,15183015,2528204,17602814,32811563,35442627,34551652,32013673,7823331,21210084,35952951,22617352,30402879,29784925,20552314,19778245,16797711,35181073,2234542,21196355,16141254,33487136,17492525,25801384,31728856,35489291,33939091,33069180,18083715,22197712,30354842,34995709,8176411,33028897,27288850,33965515,27836571,33872730,22736895,32592417,19230763,2981376,15621340,24231732,35858988,31158445,20843409,36328537,8442002,28159594,12224764,1641866,24518551,19846048,27920337,28056603,20870314,15864552,2603164,24331539,34120280,12564387,28906145,23060388,16973444,22482079,33421551,26423962,24143365,22366097,8021966,16154914,29223822,12164553,25943760,19165382,34090895,36550222,11817106,10678756,15901921,18624435,8722110,8209389,29473799,35985572,8909981,33439429,15668115,33422830,15019300,16298070,34509579,24726791,19778214,32608003,36417989,25989363,31756371,21258587,7170018,1842897,29704550,23985770,19948203,28526328,6884632,16389659,24588895,15050729,21310778,7760778,24444450,36442736,10706244,33892018,15264346,1522832,8685900,17698512,15041146,6086944,34191505,1631890,6194574,21493072,31073625,7723622,22648048,11022855,3376145,12460555,21321407,28137608,1631891,23092408,30683831,32147541,33545342,29926741,28583171,29885500,32147327,12507653,27241584,21060878,22348084,36154307,25876170,20568453,33921874,12822443,31971015,21540084,33635915,6201737,31712630,20221557,33805345,30734688,34157939,33213219,16207938,7994194,23129233,35216144,25199698,33711552,8345532,17391825,31686333,19165329,28403741,35489137,19305978,19442880,19664650,6318389,15541752,18303180,14705871,12111006,17033134,33898626,23633401,12963010,25886076,7740544,28039850,10438659,29072525,1333226,29426002,1508423,24279610
Acrylamide	hepatotoxicity	2.69	31	34238086,32879208,35738327,30734688,28490250,33480149,35682741,31686333,33348049,31294559,25690328,32013673,25607344,31928121,32592417,19853976,33635915,31342809,28968200,36780936,28892787,34206048,35807346,32608003,26252199,33781805,32068001,33227324,32805340,29093461,32333355
Acrylamide	immunotoxicity	3.28	12	30859440,32013673,29168405,8077609,30864862,33635915,21317420,20702593,28780470,35710039,24961849,28325597
Acrylamide	hematotoxicity	1.92	1	31675142
Acrylamide	nephrotoxicity	0.76	14	34243628,15854231,32068001,33227324,30379191,25607344,32608003,32879208,27846768,31686333,25858877,27014809,28133684,32166561
Streptozotocin	nephrotoxicity	2.51	79	6152975,28333074,2827466,22754938,6228218,11394539,23600734,22577153,6459845,26279284,32246071,16125744,16877231,9353851,6175410,34703210,23940028,3156984,3157661,7563008,25233093,33775493,6281169,147131,12614280,2145659,6231704,16820998,6253557,6238136,211064,6225508,142579,6458222,12506483,93982,2945250,2937179,26054577,29080465,27362760,137110,33751987,33691614,8571402,16110119,186169,9590574,2528928,28593900,6459048,7624867,2934124,15379782,34508753,1333517,4334090,21917592,148344,6282110,21356321,135666,35411926,8545838,28595079,125667,1830020,27677911,9277811,6252466,24971322,32114524,26122701,3034373,9293757,22701621,23594260,163965,30880978
Streptozotocin	cardiotoxicity	0.99	19	2437395,31306370,23602197,3155884,25954749,35781259,33257783,23595962,20723007,18285678,32144716,10600267,34932406,2148088,33761596,17159809,10426663,6225876,9393755
Streptozotocin	immunotoxicity	1.26	5	36897524,27221631,10773364,10797469,11844613
Streptozotocin	hepatotoxicity	2.07	34	26122701,2526324,22741802,9350055,34355549,29476879,17034659,26339753,32856312,6451288,32114524,26590603,16055288,31368580,29425652,6226124,30877037,34964401,26826824,164533,157561,24991800,33173431,30075092,133999,1654601,26056853,21917592,24890090,19271021,20813179,17306985,15911231,27677911
Streptozotocin	neurotoxicity	1.54	46	35090841,2151635,2933492,14769399,26057771,35227014,27702591,26836193,35893108,20148083,28385191,9248668,30149447,15042446,25596877,32360092,35442559,27720931,33607156,26298663,33826055,30607903,36228820,30583000,27637609,31731189,23244235,23096014,27997885,11005541,26656068,25050332,36567422,32738031,25823512,160836,35780960,31251091,24333387,36129161,28886427,32062618,34601090,19300402,36014421,27730514
Streptozotocin	ototoxicity	0.14	2	17345706,32722679
Streptozotocin	hematotoxicity	2.17	2	6212075,6451285
Streptozotocin	genotoxicity	0.71	29	12065220,30207184,11841791,1474923,15242184,17562326,7529888,30716368,11463841,7514723,7651468,9393761,8482431,33907960,17360155,7510026,34789130,23828045,9415197,25846499,26519266,21667441,31353725,12464347,8545838,17980470,27397496,18721840,2147910
6-Propyl-2-thiouracil	nephrotoxicity	-0.52	4	16716044,30111225,16354242,9219172
6-Propyl-2-thiouracil	ototoxicity	0.42	1	15760792
6-Propyl-2-thiouracil	immunotoxicity	1.22	2	21783838,14514952
6-Propyl-2-thiouracil	hepatotoxicity	4.50	76	17389704,23956101,20575220,6684872,23231846,11144016,23383744,35271661,1806466,24081637,11878166,32223355,7912472,3528517,25384184,31573408,22931300,2723949,28165437,21234410,17078113,12549953,6846026,9177371,15251733,23155684,8876856,34644794,6497900,29722569,20681069,32830568,3569050,21389085,30367912,6897865,21929775,16206173,27561657,17020158,3054039,7640943,6860366,9720771,9252857,6139263,19885811,25086301,23828438,20610609,26486479,9025882,7204554,25747892,15390328,20427502,22332800,8909171,33779553,2523194,6149873,8419095,22820213,22511519,4007783,21928702,25156887,32738035,25279406,9167420,8091264,19483382,7720304,6956652,20707932,20706665
6-Propyl-2-thiouracil	neurotoxicity	1.69	21	29684405,18560531,15941614,27413119,31121238,28048979,2755421,18573268,34460931,33150595,22975424,24780913,27350053,25825206,16386794,27553673,27233481,25123521,19124011,36372265,21245014
